        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-07-02 10:10:06 ,        1506.0   ,           2003.4   ,               37.7   ,        48.7   ,              27   ,                1089   ,            183   ,          0   ,                        0   ,                   0   ,                    0   ,               33.4   ,                   9.5   ,              23.2   ,                12.0   ,              9.5   ,               12.1   ,                        22.1   ,              16   ,        0.7810   ,               51.3   ,                  2331   ,
2021-07-02 10:10:07 ,         949.0   ,           2003.4   ,               37.6   ,        48.6   ,              27   ,                1092   ,            183   ,          0   ,                        0   ,                   0   ,                    0   ,               29.4   ,                   5.6   ,              23.1   ,                12.0   ,              5.6   ,               12.1   ,                        19.5   ,              16   ,        0.6250   ,               49.8   ,                  2330   ,
2021-07-02 10:10:08 ,         949.0   ,           2003.4   ,               37.7   ,        48.7   ,              27   ,                1092   ,            183   ,          1   ,                        0   ,                   0   ,                    0   ,               29.5   ,                   5.6   ,              23.2   ,                12.0   ,              5.6   ,               12.1   ,                        19.5   ,              16   ,        0.6250   ,               48.1   ,                  2330   ,
2021-07-02 10:10:09 ,         949.0   ,           2003.4   ,               37.7   ,        48.7   ,              27   ,                1093   ,            183   ,          0   ,                        0   ,                   0   ,                    0   ,               29.3   ,                   5.6   ,              23.0   ,                12.0   ,              5.6   ,               12.1   ,                        19.4   ,              16   ,        0.6250   ,               46.6   ,                  2330   ,
2021-07-02 10:10:10 ,         949.0   ,           1901.2   ,               37.7   ,        48.7   ,              27   ,                1095   ,            183   ,          0   ,                        0   ,                   0   ,                    0   ,               28.5   ,                   5.3   ,              22.4   ,                12.0   ,              5.3   ,               12.1   ,                        18.9   ,              16   ,        0.6250   ,               45.0   ,                  2330   ,
2021-07-02 10:10:11 ,         949.0   ,           1901.2   ,               37.8   ,        48.8   ,              27   ,                1095   ,            183   ,          1   ,                        0   ,                   0   ,                    0   ,               28.6   ,                   5.6   ,              22.3   ,                12.0   ,              5.6   ,               12.1   ,                        19.0   ,              16   ,        0.6250   ,               43.5   ,                  2330   ,
2021-07-02 10:10:12 ,         949.0   ,           1901.2   ,               37.9   ,        48.9   ,              27   ,                1096   ,            183   ,          1   ,                        0   ,                   0   ,                    0   ,               28.7   ,                   5.6   ,              22.3   ,                12.0   ,              5.6   ,               12.1   ,                        19.0   ,              16   ,        0.6250   ,               41.9   ,                  2330   ,
2021-07-02 10:10:13 ,         759.0   ,            405.0   ,               37.7   ,        48.7   ,              27   ,                1105   ,            183   ,          1   ,                        1   ,                   0   ,                    0   ,               10.4   ,                   3.9   ,               5.8   ,                12.1   ,              3.9   ,               12.1   ,                         6.9   ,              16   ,        0.6250   ,               40.4   ,                  2329   ,
2021-07-02 10:10:14 ,         759.0   ,            405.0   ,               37.7   ,        48.7   ,              27   ,                1107   ,            183   ,          1   ,                        1   ,                   0   ,                    0   ,                9.8   ,                   3.6   ,               5.5   ,                12.1   ,              3.6   ,               12.1   ,                         6.5   ,              16   ,        0.6250   ,               38.8   ,                  2330   ,
2021-07-02 10:10:15 ,         177.0   ,            202.5   ,               37.7   ,        48.7   ,              27   ,                1106   ,            183   ,          1   ,                        2   ,                   0   ,                    0   ,                9.4   ,                   3.4   ,               5.3   ,                12.1   ,              3.4   ,               12.1   ,                         6.2   ,              16   ,        0.6250   ,               37.3   ,                  2329   ,
