        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-16 19:17:04 ,        1045.2   ,           1752.8   ,               39.0   ,              41   ,                1320   ,            131   ,          0   ,                        0   ,                   0   ,                    0   ,                    54.5   ,                        23.9   ,              16   , 1.1120   ,               51.1   ,                  2723   ,
2021-03-16 19:17:05 ,        1045.2   ,           1752.8   ,               39.0   ,              41   ,                1350   ,            131   ,          1   ,                        0   ,                   0   ,                    0   ,                    54.7   ,                        24.0   ,              16   , 1.1120   ,               49.6   ,                  2724   ,
2021-03-16 19:17:06 ,        1045.2   ,           1752.8   ,               39.0   ,              41   ,                1320   ,            131   ,          1   ,                        0   ,                   0   ,                    0   ,                    54.7   ,                        24.0   ,              16   , 1.1120   ,               48.1   ,                  2723   ,
2021-03-16 19:17:07 ,         810.0   ,           1752.8   ,               38.0   ,              41   ,                1380   ,            131   ,          1   ,                        0   ,                   0   ,                    0   ,                    49.0   ,                        21.5   ,              16   , 0.9620   ,               46.5   ,                  2723   ,
2021-03-16 19:17:08 ,         810.0   ,           1752.8   ,               39.0   ,              41   ,                1350   ,            131   ,          1   ,                        0   ,                   0   ,                    0   ,                    49.0   ,                        21.5   ,              16   , 0.9620   ,               45.0   ,                  2723   ,
2021-03-16 19:17:09 ,         810.0   ,            405.0   ,               37.0   ,              41   ,                1350   ,            131   ,          1   ,                        1   ,                   0   ,                    0   ,                    28.6   ,                        12.5   ,              16   , 0.9620   ,               43.4   ,                  2723   ,
2021-03-16 19:17:10 ,         810.0   ,            405.0   ,               37.0   ,              41   ,                1380   ,            131   ,          1   ,                        1   ,                   0   ,                    0   ,                    26.8   ,                        11.7   ,              16   , 0.9620   ,               41.9   ,                  2723   ,
2021-03-16 19:17:11 ,         810.0   ,            405.0   ,               37.0   ,              41   ,                1350   ,            131   ,          1   ,                        1   ,                   0   ,                    0   ,                    26.7   ,                        11.7   ,              16   , 0.9620   ,               40.4   ,                  2723   ,
2021-03-16 19:17:12 ,         180.0   ,            162.0   ,               36.0   ,              41   ,                1320   ,            131   ,          2   ,                        3   ,                   0   ,                    0   ,                    26.7   ,                        11.7   ,              16   , 0.9620   ,               38.8   ,                  2723   ,
2021-03-16 19:17:13 ,         180.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          2   ,                        4   ,                   0   ,                    0   ,                    13.4   ,                         5.9   ,              16   , 0.9620   ,               37.5   ,                  2723   ,
2021-03-16 19:17:14 ,         180.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          2   ,                        3   ,                   0   ,                    0   ,                    13.3   ,                         5.8   ,              16   , 0.9620   ,               36.6   ,                  2723   ,
2021-03-16 19:17:15 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1380   ,            131   ,          3   ,                        4   ,                   0   ,                    0   ,                    13.5   ,                         5.9   ,              16   , 0.9620   ,               36.5   ,                  2717   ,
2021-03-16 19:17:16 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          3   ,                        4   ,                   0   ,                    0   ,                    13.5   ,                         5.9   ,              16   , 0.9620   ,               36.3   ,                  2717   ,
2021-03-16 19:17:17 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          3   ,                        3   ,                   0   ,                    0   ,                    13.4   ,                         5.9   ,              16   , 0.9620   ,               36.3   ,                  2717   ,
2021-03-16 19:17:18 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          3   ,                        3   ,                   0   ,                    0   ,                    13.3   ,                         5.8   ,              16   , 0.9620   ,               36.0   ,                  2717   ,
2021-03-16 19:17:19 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    13.4   ,                         5.9   ,              16   , 0.9620   ,               35.5   ,                  2717   ,
2021-03-16 19:17:20 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1320   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.6   ,                  2716   ,
2021-03-16 19:17:21 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          0   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.4   ,                  2715   ,
2021-03-16 19:17:22 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          0   ,                        3   ,                   0   ,                    0   ,                    12.8   ,                         5.6   ,              16   , 0.9620   ,               34.3   ,                  2714   ,
2021-03-16 19:17:23 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1380   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.3   ,                  2714   ,
2021-03-16 19:17:24 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1380   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    13.0   ,                         5.7   ,              16   , 0.9620   ,               34.3   ,                  2714   ,
2021-03-16 19:17:25 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1320   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    13.1   ,                         5.8   ,              16   , 0.9620   ,               34.0   ,                  2714   ,
2021-03-16 19:17:26 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.1   ,                  2714   ,
2021-03-16 19:17:27 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.1   ,                  2713   ,
2021-03-16 19:17:28 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1320   ,            131   ,          0   ,                        3   ,                   0   ,                    0   ,                    12.8   ,                         5.6   ,              16   , 0.9620   ,               34.0   ,                  2714   ,
2021-03-16 19:17:29 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.8   ,                         5.6   ,              16   , 0.9620   ,               34.0   ,                  2713   ,
2021-03-16 19:17:30 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.0   ,                  2713   ,
2021-03-16 19:17:31 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1380   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    13.0   ,                         5.7   ,              16   , 0.9620   ,               34.1   ,                  2713   ,
2021-03-16 19:17:32 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.3   ,                  2713   ,
2021-03-16 19:17:33 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.7   ,                         5.6   ,              16   , 0.9620   ,               34.0   ,                  2713   ,
2021-03-16 19:17:34 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    13.0   ,                         5.7   ,              16   , 0.9620   ,               34.0   ,                  2713   ,
2021-03-16 19:17:35 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          0   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.0   ,                  2713   ,
2021-03-16 19:17:36 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1320   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    13.0   ,                         5.7   ,              16   , 0.9620   ,               34.3   ,                  2713   ,
2021-03-16 19:17:37 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    13.0   ,                         5.7   ,              16   , 0.9620   ,               34.0   ,                  2713   ,
2021-03-16 19:17:38 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1380   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    13.0   ,                         5.7   ,              16   , 0.9620   ,               34.3   ,                  2713   ,
2021-03-16 19:17:39 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.3   ,                  2713   ,
2021-03-16 19:17:40 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            131   ,          0   ,                        3   ,                   0   ,                    0   ,                    12.7   ,                         5.6   ,              16   , 0.9620   ,               34.1   ,                  2713   ,
2021-03-16 19:17:41 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1320   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    13.0   ,                         5.7   ,              16   , 0.9620   ,               34.4   ,                  2713   ,
2021-03-16 19:17:42 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.3   ,                  2713   ,
2021-03-16 19:17:43 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1380   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    13.0   ,                         5.7   ,              16   , 0.9620   ,               34.0   ,                  2713   ,
2021-03-16 19:17:44 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    13.0   ,                         5.7   ,              16   , 0.9620   ,               34.3   ,                  2688   ,
2021-03-16 19:17:45 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    13.0   ,                         5.7   ,              16   , 0.9620   ,               34.3   ,                  2687   ,
2021-03-16 19:17:46 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.3   ,                  2687   ,
2021-03-16 19:17:47 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1320   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.7   ,                         5.6   ,              16   , 0.9620   ,               34.3   ,                  2686   ,
2021-03-16 19:17:48 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.1   ,                  2687   ,
2021-03-16 19:17:49 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1380   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.3   ,                  2687   ,
2021-03-16 19:17:50 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            131   ,          1   ,                        3   ,                   0   ,                    0   ,                    12.8   ,                         5.6   ,              16   , 0.9620   ,               34.1   ,                  2686   ,
2021-03-16 19:17:51 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            131   ,          0   ,                        3   ,                   0   ,                    0   ,                    12.9   ,                         5.7   ,              16   , 0.9620   ,               34.0   ,                  2686   ,
