        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCE Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , SOC VRM Temperature [°C] , Mem VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU only Power Draw [W] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-17 14:32:31 ,          26.0   ,            176.0   ,          33.0   ,               38.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          1   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               50.1   ,                  3125   ,
2021-03-17 14:32:32 ,          26.0   ,            189.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          6   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               48.6   ,                  3124   ,
2021-03-17 14:32:33 ,          26.0   ,            190.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          5   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               47.0   ,                  3118   ,
2021-03-17 14:32:34 ,          26.0   ,            188.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          5   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               45.5   ,                  3118   ,
2021-03-17 14:32:35 ,          26.0   ,            190.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          5   ,                        329   ,                      119   ,                   8.0   , 0.8313   ,               43.9   ,                  3118   ,
2021-03-17 14:32:36 ,          26.0   ,            201.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          5   ,                        329   ,                      119   ,                   8.0   , 0.8313   ,               42.4   ,                  3118   ,
2021-03-17 14:32:37 ,          26.0   ,            196.0   ,          33.0   ,               35.0   ,                          36.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          8   ,                        329   ,                      119   ,                   7.0   , 0.7813   ,               40.8   ,                  3118   ,
2021-03-17 14:32:38 ,          26.0   ,            195.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          7   ,                        329   ,                      119   ,                   7.0   , 0.7813   ,               39.3   ,                  3117   ,
2021-03-17 14:32:39 ,          26.0   ,            188.0   ,          33.0   ,               35.0   ,                          36.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          7   ,                        329   ,                      119   ,                   7.0   , 0.7813   ,               37.9   ,                  3117   ,
2021-03-17 14:32:40 ,          26.0   ,            194.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          5   ,                        329   ,                      119   ,                   7.0   , 0.7813   ,               37.0   ,                  3117   ,
2021-03-17 14:32:41 ,          26.0   ,            197.0   ,          33.0   ,               37.0   ,                          36.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,         10   ,                        329   ,                      119   ,                   7.0   , 0.8313   ,               45.5   ,                  3117   ,
2021-03-17 14:32:42 ,          26.0   ,            189.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          5   ,                        329   ,                      119   ,                   7.0   , 0.7813   ,               43.9   ,                  3117   ,
2021-03-17 14:32:43 ,          26.0   ,            192.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          4   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               42.5   ,                  3117   ,
2021-03-17 14:32:44 ,          26.0   ,            192.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          4   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               40.9   ,                  3117   ,
2021-03-17 14:32:45 ,          26.0   ,            194.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          5   ,                        329   ,                      119   ,                   7.0   , 0.7813   ,               39.4   ,                  3117   ,
2021-03-17 14:32:46 ,          26.0   ,            171.0   ,          33.0   ,               35.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          0   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               37.8   ,                  3096   ,
2021-03-17 14:32:47 ,          26.0   ,            169.0   ,          33.0   ,               35.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              24   ,                   0   ,          0   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               37.6   ,                  3109   ,
2021-03-17 14:32:48 ,          26.0   ,            168.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              24   ,                   0   ,          7   ,                        329   ,                      119   ,                   7.0   , 0.7813   ,               37.6   ,                  3094   ,
2021-03-17 14:32:49 ,          26.0   ,            176.0   ,          33.0   ,               37.0   ,                          36.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              24   ,                   0   ,          2   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               37.6   ,                  3094   ,
2021-03-17 14:32:50 ,          26.0   ,            176.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              24   ,                   0   ,          1   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               36.3   ,                  3094   ,
2021-03-17 14:32:51 ,          26.0   ,            181.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   39.0   ,              24   ,                   0   ,          1   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               35.9   ,                  3094   ,
2021-03-17 14:32:52 ,          26.0   ,            171.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   38.0   ,                   38.0   ,                   39.0   ,              24   ,                   0   ,          0   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               35.8   ,                  3093   ,
2021-03-17 14:32:53 ,          26.0   ,            172.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   39.0   ,              24   ,                   0   ,          0   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               35.8   ,                  3093   ,
2021-03-17 14:32:54 ,          26.0   ,            174.0   ,          33.0   ,               34.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              24   ,                   0   ,          0   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               35.8   ,                  3093   ,
2021-03-17 14:32:55 ,          26.0   ,            169.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              24   ,                   0   ,          0   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               35.8   ,                  3093   ,
2021-03-17 14:32:56 ,          26.0   ,            169.0   ,          33.0   ,               35.0   ,                          36.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              24   ,                   0   ,          0   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               35.8   ,                  3092   ,
2021-03-17 14:32:57 ,          26.0   ,            169.0   ,          33.0   ,               35.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              24   ,                   0   ,          0   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               35.8   ,                  3092   ,
2021-03-17 14:32:58 ,          26.0   ,            169.0   ,          33.0   ,               35.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   38.0   ,                   39.0   ,              24   ,                   0   ,          0   ,                        329   ,                      119   ,                   7.0   , 0.7813   ,               35.8   ,                  3090   ,
2021-03-17 14:32:59 ,          26.0   ,            174.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   38.0   ,                    2.0   ,                   39.0   ,              24   ,                   0   ,         50   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               35.8   ,                  3090   ,
2021-03-17 14:33:00 ,          26.0   ,            181.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   39.0   ,              24   ,                   0   ,          2   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               35.8   ,                  3090   ,
2021-03-17 14:33:01 ,          26.0   ,            184.0   ,          33.0   ,               36.0   ,                          37.0   ,                  40.0   ,                   38.0   ,                   38.0   ,                   39.0   ,              24   ,                   0   ,          2   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               35.8   ,                  3090   ,
2021-03-17 14:33:02 ,          26.0   ,            174.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   39.0   ,              24   ,                   0   ,         38   ,                        329   ,                      119   ,                   8.0   , 0.7813   ,               35.8   ,                  3090   ,
2021-03-17 14:33:03 ,          26.0   ,            179.0   ,          33.0   ,               37.0   ,                          36.0   ,                  40.0   ,                   38.0   ,                   38.0   ,                   39.0   ,              24   ,                   0   ,          0   ,                        329   ,                      119   ,                   7.0   , 0.7813   ,               35.8   ,                  3090   ,
2021-03-17 14:33:04 ,          26.0   ,            176.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   37.0   ,                   39.0   ,              24   ,                   0   ,          0   ,                        329   ,                      119   ,                   7.0   , 0.7813   ,               35.8   ,                  3090   ,
2021-03-17 14:33:05 ,          26.0   ,            169.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              24   ,                   0   ,          0   ,                        329   ,                      119   ,                   8.0   , 0.8187   ,               35.8   ,                  3090   ,
2021-03-17 14:33:06 ,          26.0   ,            168.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   38.0   ,                   39.0   ,              24   ,                   0   ,          0   ,                        329   ,                      119   ,                   7.0   , 0.8313   ,               35.8   ,                  3090   ,
