        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-16 08:57:30 ,        1506.0   ,           2003.4   ,               32.0   ,              27   ,                1092   ,            221   ,          0   ,                        0   ,                   0   ,                    0   ,                    33.0   ,                        21.8   ,              16   , 0.7810   ,               44.3   ,                  2404   ,
2021-03-16 08:57:31 ,        1506.0   ,           2003.4   ,               32.0   ,              27   ,                1092   ,            221   ,          0   ,                        0   ,                   0   ,                    0   ,                    32.9   ,                        21.8   ,              16   , 0.7810   ,               42.6   ,                  2416   ,
2021-03-16 08:57:32 ,         961.5   ,           2003.4   ,               32.0   ,              27   ,                1095   ,            221   ,          0   ,                        0   ,                   0   ,                    0   ,                    28.9   ,                        19.1   ,              16   , 0.6250   ,               41.1   ,                  2413   ,
2021-03-16 08:57:33 ,         961.5   ,           2003.4   ,               32.0   ,              27   ,                1094   ,            221   ,          0   ,                        0   ,                   0   ,                    0   ,                    28.9   ,                        19.1   ,              16   , 0.6250   ,               39.6   ,                  2411   ,
2021-03-16 08:57:34 ,         961.5   ,           2003.4   ,               32.0   ,              27   ,                1094   ,            221   ,          1   ,                        0   ,                   0   ,                    0   ,                    28.9   ,                        19.1   ,              16   , 0.6250   ,               38.0   ,                  2411   ,
2021-03-16 08:57:35 ,         961.5   ,           1901.2   ,               32.0   ,              27   ,                1097   ,            221   ,          1   ,                        0   ,                   0   ,                    0   ,                    28.2   ,                        18.7   ,              16   , 0.6250   ,               36.5   ,                  2399   ,
2021-03-16 08:57:36 ,         961.5   ,           1901.2   ,               32.0   ,              27   ,                1097   ,            221   ,          1   ,                        0   ,                   0   ,                    0   ,                    28.3   ,                        18.8   ,              16   , 0.6250   ,               34.9   ,                  2398   ,
2021-03-16 08:57:37 ,         961.5   ,           1901.2   ,               32.0   ,              27   ,                1099   ,            221   ,          1   ,                        0   ,                   0   ,                    0   ,                    28.3   ,                        18.8   ,              16   , 0.6250   ,               33.5   ,                  2394   ,
2021-03-16 08:57:38 ,         759.0   ,            405.0   ,               32.0   ,              27   ,                1106   ,            221   ,          1   ,                        1   ,                   0   ,                    0   ,                     9.1   ,                         6.8   ,              16   , 0.6250   ,               32.4   ,                  2395   ,
2021-03-16 08:57:39 ,         759.0   ,            405.0   ,               32.0   ,              27   ,                1107   ,            221   ,          1   ,                        1   ,                   0   ,                    0   ,                     9.6   ,                         6.4   ,              16   , 0.6250   ,               31.5   ,                  2395   ,
2021-03-16 08:57:40 ,         177.0   ,            202.5   ,               32.0   ,              27   ,                1106   ,            221   ,          1   ,                        2   ,                   0   ,                    0   ,                     8.1   ,                         5.4   ,              16   , 0.6250   ,               31.0   ,                  2395   ,
2021-03-16 08:57:41 ,         177.0   ,            202.5   ,               32.0   ,              27   ,                1106   ,            221   ,          1   ,                        3   ,                   0   ,                    0   ,                     8.1   ,                         5.4   ,              16   , 0.6250   ,               30.6   ,                  2394   ,
2021-03-16 08:57:42 ,         177.0   ,            202.5   ,               32.0   ,              27   ,                1105   ,            221   ,          1   ,                        2   ,                   0   ,                    0   ,                     8.0   ,                         5.9   ,              16   , 0.6250   ,               30.1   ,                  2394   ,
2021-03-16 08:57:43 ,         139.0   ,            202.5   ,               32.0   ,              27   ,                1104   ,            221   ,          1   ,                        2   ,                   0   ,                    0   ,                     8.8   ,                         5.8   ,              16   , 0.6250   ,               30.3   ,                  2393   ,
2021-03-16 08:57:44 ,         139.0   ,            202.5   ,               32.0   ,              27   ,                1102   ,            221   ,          1   ,                        2   ,                   0   ,                    0   ,                     8.9   ,                         5.9   ,              16   , 0.6250   ,               30.3   ,                  2393   ,
2021-03-16 08:57:45 ,         139.0   ,            202.5   ,               32.0   ,              27   ,                1101   ,            221   ,          0   ,                        2   ,                   0   ,                    0   ,                     8.2   ,                         5.5   ,              16   , 0.6250   ,               30.0   ,                  2392   ,
2021-03-16 08:57:46 ,         139.0   ,            202.5   ,               32.0   ,              27   ,                1104   ,            221   ,          0   ,                        2   ,                   0   ,                    0   ,                     8.8   ,                         5.8   ,              16   , 0.6250   ,               29.5   ,                  2392   ,
