        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-15 20:43:25 ,        1506.0   ,           2003.4   ,               36.0   ,              27   ,                1090   ,            160   ,          0   ,                        0   ,                   0   ,                    0   ,                    33.2   ,                        22.0   ,              16   , 0.7810   ,               53.0   ,                  2533   ,
2021-03-15 20:43:26 ,        1506.0   ,           2003.4   ,               36.0   ,              27   ,                1092   ,            160   ,          0   ,                        0   ,                   0   ,                    0   ,                    33.3   ,                        22.0   ,              16   , 0.7810   ,               51.5   ,                  2532   ,
2021-03-15 20:43:27 ,         936.5   ,           2003.4   ,               36.0   ,              27   ,                1096   ,            160   ,          1   ,                        0   ,                   0   ,                    0   ,                    29.0   ,                        19.2   ,              16   , 0.6250   ,               49.9   ,                  2532   ,
2021-03-15 20:43:28 ,         936.5   ,           2003.4   ,               36.0   ,              27   ,                1095   ,            160   ,          1   ,                        0   ,                   0   ,                    0   ,                    29.0   ,                        19.2   ,              16   , 0.6250   ,               48.4   ,                  2531   ,
2021-03-15 20:43:29 ,         936.5   ,           1901.2   ,               36.0   ,              27   ,                1095   ,            160   ,          1   ,                        0   ,                   0   ,                    0   ,                    28.5   ,                        18.9   ,              16   , 0.6250   ,               46.8   ,                  2531   ,
2021-03-15 20:43:30 ,         936.5   ,           1901.2   ,               36.0   ,              27   ,                1098   ,            160   ,          0   ,                        0   ,                   0   ,                    0   ,                    28.5   ,                        18.9   ,              16   , 0.6250   ,               45.3   ,                  2531   ,
2021-03-15 20:43:31 ,         936.5   ,           1901.2   ,               36.0   ,              27   ,                1099   ,            160   ,          1   ,                        0   ,                   0   ,                    0   ,                    28.4   ,                        18.8   ,              16   , 0.6250   ,               43.6   ,                  2531   ,
2021-03-15 20:43:32 ,         759.0   ,            405.0   ,               36.0   ,              27   ,                1104   ,            160   ,          1   ,                        1   ,                   0   ,                    0   ,                     9.8   ,                         6.5   ,              16   , 0.6250   ,               42.1   ,                  2531   ,
2021-03-15 20:43:33 ,         759.0   ,            405.0   ,               36.0   ,              27   ,                1108   ,            160   ,          1   ,                        1   ,                   0   ,                    0   ,                     9.8   ,                         6.5   ,              16   , 0.6250   ,               40.5   ,                  2531   ,
2021-03-15 20:43:34 ,         759.0   ,            405.0   ,               36.0   ,              27   ,                1107   ,            160   ,          1   ,                        1   ,                   0   ,                    0   ,                    10.0   ,                         6.6   ,              16   , 0.6250   ,               39.0   ,                  2531   ,
