        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-16 11:11:35 ,        1126.0   ,           1752.8   ,               36.0   ,              26   ,                1127   ,            107   ,          0   ,                        0   ,                   0   ,                    0   ,                    47.3   ,                        26.3   ,              16   , 1.0250   ,               49.1   ,                  2602   ,
2021-03-16 11:11:36 ,        1126.0   ,           1752.8   ,               36.0   ,              26   ,                1127   ,            107   ,          0   ,                        0   ,                   0   ,                    0   ,                    47.3   ,                        26.3   ,              16   , 1.0250   ,               49.0   ,                  2617   ,
2021-03-16 11:11:37 ,         911.3   ,           1502.3   ,               36.0   ,              26   ,                1126   ,            107   ,          0   ,                        0   ,                   0   ,                    0   ,                    46.1   ,                        25.6   ,              16   , 0.9870   ,               47.9   ,                  2578   ,
2021-03-16 11:11:38 ,         911.3   ,           1502.3   ,               36.0   ,              26   ,                1127   ,            107   ,          0   ,                        0   ,                   0   ,                    0   ,                    43.6   ,                        24.2   ,              16   , 0.9870   ,               46.4   ,                  2578   ,
2021-03-16 11:11:39 ,         911.3   ,           1502.3   ,               36.0   ,              26   ,                1127   ,            107   ,          0   ,                        0   ,                   0   ,                    0   ,                    43.5   ,                        24.2   ,              16   , 0.9870   ,               44.8   ,                  2578   ,
2021-03-16 11:11:40 ,         734.1   ,            405.0   ,               36.0   ,              26   ,                1132   ,            107   ,          1   ,                        1   ,                   0   ,                    0   ,                    19.9   ,                        11.1   ,              16   , 0.8500   ,               43.3   ,                  2578   ,
2021-03-16 11:11:41 ,         734.1   ,            405.0   ,               36.0   ,              26   ,                1141   ,            107   ,          1   ,                        1   ,                   0   ,                    0   ,                    19.3   ,                        10.7   ,              16   , 0.8500   ,               41.8   ,                  2572   ,
2021-03-16 11:11:42 ,         734.1   ,            405.0   ,               35.0   ,              26   ,                1142   ,            107   ,          1   ,                        1   ,                   0   ,                    0   ,                    19.1   ,                        10.6   ,              16   , 0.8500   ,               40.1   ,                  2576   ,
2021-03-16 11:11:43 ,         162.0   ,            162.0   ,               35.0   ,              26   ,                1141   ,            107   ,          2   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               38.8   ,                  2577   ,
2021-03-16 11:11:44 ,         162.0   ,            162.0   ,               35.0   ,              26   ,                1142   ,            107   ,          2   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               37.5   ,                  2577   ,
2021-03-16 11:11:45 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1143   ,            107   ,          2   ,                        3   ,                   0   ,                    0   ,                    16.4   ,                         9.1   ,              16   , 0.8500   ,               36.5   ,                  2577   ,
2021-03-16 11:11:46 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1142   ,            107   ,          3   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               36.1   ,                  2576   ,
2021-03-16 11:11:47 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1143   ,            107   ,          2   ,                        3   ,                   0   ,                    0   ,                    16.4   ,                         9.1   ,              16   , 0.8500   ,               36.0   ,                  2576   ,
2021-03-16 11:11:48 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1143   ,            107   ,          2   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               36.0   ,                  2576   ,
2021-03-16 11:11:49 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1142   ,            107   ,          2   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               35.6   ,                  2576   ,
2021-03-16 11:11:50 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1142   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               34.9   ,                  2576   ,
2021-03-16 11:11:51 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1144   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.2   ,                         9.0   ,              16   , 0.8500   ,               34.5   ,                  2575   ,
2021-03-16 11:11:52 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1143   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.2   ,                         9.0   ,              16   , 0.8500   ,               34.4   ,                  2575   ,
2021-03-16 11:11:53 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1143   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               34.6   ,                  2575   ,
2021-03-16 11:11:54 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1143   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               34.3   ,                  2575   ,
2021-03-16 11:11:55 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1142   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.2   ,                         9.0   ,              16   , 0.8500   ,               34.4   ,                  2574   ,
2021-03-16 11:11:56 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1143   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.2   ,                         9.0   ,              16   , 0.8500   ,               34.3   ,                  2573   ,
2021-03-16 11:11:57 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1143   ,            107   ,          0   ,                        3   ,                   0   ,                    0   ,                    16.1   ,                         8.9   ,              16   , 0.8500   ,               34.3   ,                  2572   ,
2021-03-16 11:11:58 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1143   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               34.0   ,                  2571   ,
2021-03-16 11:11:59 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1142   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               34.0   ,                  2570   ,
2021-03-16 11:12:00 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1143   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.2   ,                         9.0   ,              16   , 0.8500   ,               34.0   ,                  2570   ,
2021-03-16 11:12:01 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1142   ,            107   ,          0   ,                        3   ,                   0   ,                    0   ,                    16.1   ,                         8.9   ,              16   , 0.8500   ,               33.9   ,                  2565   ,
2021-03-16 11:12:02 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1142   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.1   ,                         8.9   ,              16   , 0.8500   ,               33.9   ,                  2564   ,
2021-03-16 11:12:03 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1143   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.3   ,                         9.0   ,              16   , 0.8500   ,               34.0   ,                  2564   ,
2021-03-16 11:12:04 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1143   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.0   ,                         8.9   ,              16   , 0.8500   ,               33.9   ,                  2565   ,
2021-03-16 11:12:05 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1141   ,            107   ,          1   ,                        3   ,                   0   ,                    0   ,                    16.2   ,                         9.0   ,              16   , 0.8500   ,               33.8   ,                  2564   ,
2021-03-16 11:12:06 ,         135.0   ,            162.0   ,               35.0   ,              26   ,                1141   ,            107   ,          0   ,                        3   ,                   0   ,                    0   ,                    16.1   ,                         8.9   ,              16   , 0.8500   ,               33.8   ,                  2565   ,
