        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCE Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , SOC VRM Temperature [°C] , Mem VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-07-03 07:28:41 ,          26.0   ,            178.0   ,          33.0   ,               40.0   ,                          39.0   ,                  43.0   ,                   41.0   ,                   40.0   ,                   42.0   ,              28   ,                   0   ,          0   ,                        315   ,                      111   ,                   8.0   , 0.7813   ,               55.3   ,                  2910   ,
2021-07-03 07:28:42 ,          26.0   ,            184.0   ,          33.0   ,               39.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              28   ,                   0   ,          3   ,                        315   ,                      111   ,                   7.0   , 0.7813   ,               53.8   ,                  2908   ,
2021-07-03 07:28:43 ,          26.0   ,            193.0   ,          33.0   ,               40.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              28   ,                   0   ,          3   ,                        315   ,                      111   ,                   7.0   , 0.7813   ,               52.1   ,                  2906   ,
2021-07-03 07:28:44 ,          26.0   ,            196.0   ,          33.0   ,               39.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              28   ,                   0   ,          4   ,                        315   ,                      111   ,                   7.0   , 0.7813   ,               50.6   ,                  2906   ,
2021-07-03 07:28:45 ,          26.0   ,            193.0   ,          33.0   ,               40.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              28   ,                   0   ,          4   ,                        315   ,                      111   ,                   6.0   , 0.7813   ,               49.0   ,                  2903   ,
2021-07-03 07:28:46 ,          26.0   ,            196.0   ,          33.0   ,               37.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              28   ,                   0   ,          3   ,                        315   ,                      111   ,                   7.0   , 0.7813   ,               47.5   ,                  2917   ,
2021-07-03 07:28:47 ,          26.0   ,            185.0   ,          33.0   ,               39.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              28   ,                   0   ,          2   ,                        315   ,                      111   ,                   7.0   , 0.7813   ,               46.0   ,                  2916   ,
2021-07-03 07:28:48 ,          26.0   ,            189.0   ,          33.0   ,               39.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              28   ,                   0   ,          4   ,                        315   ,                      111   ,                   7.0   , 0.7813   ,               44.5   ,                  2915   ,
2021-07-03 07:28:49 ,          26.0   ,            188.0   ,          33.0   ,               39.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              28   ,                   0   ,          4   ,                        315   ,                      111   ,                   7.0   , 0.7813   ,               42.9   ,                  2915   ,
2021-07-03 07:28:50 ,          26.0   ,            196.0   ,          33.0   ,               39.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              28   ,                   0   ,          3   ,                        315   ,                      111   ,                   7.0   , 0.7813   ,               41.6   ,                  2915   ,
