        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCE Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , SOC VRM Temperature [°C] , Mem VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-07-03 09:36:28 ,          26.0   ,            181.0   ,          33.0   ,               38.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               36.3   ,                  3495   ,
2021-07-03 09:36:29 ,          26.0   ,            179.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               36.3   ,                  3495   ,
2021-07-03 09:36:30 ,          26.0   ,            176.0   ,          33.0   ,               36.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          1   ,                       1413   ,                      104   ,                   8.0   , 0.7813   ,               36.3   ,                  3495   ,
2021-07-03 09:36:31 ,          26.0   ,            173.0   ,          33.0   ,               35.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               36.3   ,                  3495   ,
2021-07-03 09:36:32 ,          26.0   ,            176.0   ,          33.0   ,               38.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                       1413   ,                      104   ,                   8.0   , 0.7813   ,               36.3   ,                  3495   ,
2021-07-03 09:36:33 ,          26.0   ,            169.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       1413   ,                      104   ,                   6.0   , 0.7813   ,               37.1   ,                  3466   ,
2021-07-03 09:36:34 ,          26.0   ,            173.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          1   ,                       1413   ,                      104   ,                   6.0   , 0.7813   ,               36.6   ,                  3469   ,
2021-07-03 09:36:35 ,          26.0   ,            177.0   ,          33.0   ,               37.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          1   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               36.5   ,                  3471   ,
2021-07-03 09:36:36 ,          26.0   ,            180.0   ,          33.0   ,               36.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       1413   ,                      104   ,                   8.0   , 0.7813   ,               36.5   ,                  3471   ,
2021-07-03 09:36:37 ,          26.0   ,            172.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       1413   ,                      104   ,                   8.0   , 0.7813   ,               36.4   ,                  3471   ,
2021-07-03 09:36:38 ,          26.0   ,            170.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               36.4   ,                  3471   ,
2021-07-03 09:36:39 ,          26.0   ,            170.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       1413   ,                      104   ,                   8.0   , 0.7813   ,               36.3   ,                  3471   ,
2021-07-03 09:36:40 ,          26.0   ,            176.0   ,          33.0   ,               38.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          3   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               36.4   ,                  3470   ,
2021-07-03 09:36:41 ,          26.0   ,            178.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          4   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               36.3   ,                  3471   ,
2021-07-03 09:36:42 ,          26.0   ,            173.0   ,          33.0   ,               38.0   ,                          38.0   ,                  41.0   ,                   38.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               36.3   ,                  3470   ,
2021-07-03 09:36:43 ,          26.0   ,            171.0   ,          33.0   ,               36.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               36.3   ,                  3470   ,
2021-07-03 09:36:44 ,          26.0   ,            173.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               36.3   ,                  3470   ,
2021-07-03 09:36:45 ,          26.0   ,            173.0   ,          33.0   ,               38.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               36.3   ,                  3470   ,
2021-07-03 09:36:46 ,          26.0   ,            169.0   ,          33.0   ,               38.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               36.1   ,                  3470   ,
2021-07-03 09:36:47 ,          26.0   ,            175.0   ,          33.0   ,               37.0   ,                          38.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                       1413   ,                      104   ,                   8.0   , 0.7813   ,               36.1   ,                  3470   ,
2021-07-03 09:36:48 ,          26.0   ,            179.0   ,          33.0   ,               38.0   ,                          38.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          8   ,                       1413   ,                      104   ,                   7.0   , 0.7813   ,               36.1   ,                  3470   ,
