        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCE Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , SOC VRM Temperature [°C] , Mem VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-07-04 13:49:42 ,          26.0   ,            173.0   ,          33.0   ,               35.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          0   ,                        285   ,                       86   ,                   5.0   , 0.7500   ,               53.3   ,                  3422   ,
2021-07-04 13:49:43 ,          26.0   ,            190.0   ,          33.0   ,               35.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          5   ,                        285   ,                       86   ,                   6.0   , 0.7500   ,               51.8   ,                  3418   ,
2021-07-04 13:49:44 ,          26.0   ,            184.0   ,          33.0   ,               35.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          8   ,                        285   ,                       86   ,                   6.0   , 0.7500   ,               50.1   ,                  3418   ,
2021-07-04 13:49:45 ,          26.0   ,            192.0   ,          33.0   ,               36.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          3   ,                        285   ,                       86   ,                   6.0   , 0.7500   ,               48.6   ,                  3418   ,
2021-07-04 13:49:46 ,          26.0   ,            197.0   ,          33.0   ,               35.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          8   ,                        285   ,                       86   ,                   6.0   , 0.7500   ,               47.0   ,                  3417   ,
2021-07-04 13:49:47 ,          26.0   ,            189.0   ,          33.0   ,               35.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          2   ,                        285   ,                       86   ,                   6.0   , 0.7500   ,               45.5   ,                  3417   ,
2021-07-04 13:49:48 ,          26.0   ,            191.0   ,          33.0   ,               33.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          5   ,                        285   ,                       86   ,                   6.0   , 0.7500   ,               43.9   ,                  3416   ,
2021-07-04 13:49:49 ,          26.0   ,            189.0   ,          33.0   ,               36.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          5   ,                        285   ,                       86   ,                   6.0   , 0.7500   ,               42.4   ,                  3416   ,
2021-07-04 13:49:50 ,          26.0   ,            187.0   ,          33.0   ,               35.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          2   ,                        285   ,                       86   ,                   6.0   , 0.7500   ,               40.8   ,                  3416   ,
2021-07-04 13:49:51 ,          26.0   ,            189.0   ,          33.0   ,               35.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          6   ,                        285   ,                       86   ,                   6.0   , 0.7500   ,               39.4   ,                  3415   ,
2021-07-04 13:49:52 ,          26.0   ,            189.0   ,          33.0   ,               35.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          6   ,                        285   ,                       86   ,                   6.0   , 0.7500   ,               38.3   ,                  3415   ,
2021-07-04 13:49:53 ,          26.0   ,            193.0   ,          33.0   ,               35.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          7   ,                        285   ,                       86   ,                   6.0   , 0.7500   ,               37.8   ,                  3414   ,
2021-07-04 13:49:54 ,          26.0   ,            188.0   ,          33.0   ,               35.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          3   ,                        285   ,                       86   ,                   6.0   , 0.7500   ,               37.5   ,                  3413   ,
2021-07-04 13:49:55 ,          26.0   ,            192.0   ,          33.0   ,               35.0   ,                          35.0   ,                  39.0   ,                   36.0   ,                   36.0   ,                   38.0   ,              24   ,                   0   ,          5   ,                        285   ,                       86   ,                   6.0   , 0.7500   ,               37.5   ,                  3413   ,
