        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCE Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , SOC VRM Temperature [°C] , Mem VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-07-04 11:33:11 ,          26.0   ,            181.0   ,          33.0   ,               24.0   ,                          24.0   ,                  29.0   ,                   26.0   ,                   26.0   ,                   27.0   ,              26   ,                   0   ,          3   ,                        222   ,                      115   ,                   6.0   , 0.7500   ,               52.1   ,                  2841   ,
2021-07-04 11:33:12 ,          26.0   ,            188.0   ,          33.0   ,               24.0   ,                          24.0   ,                  28.0   ,                   26.0   ,                   25.0   ,                   27.0   ,              26   ,                   0   ,          7   ,                        222   ,                      115   ,                   7.0   , 0.8000   ,               50.6   ,                  2840   ,
2021-07-04 11:33:13 ,          26.0   ,            200.0   ,          33.0   ,               24.0   ,                          24.0   ,                  29.0   ,                   25.0   ,                   25.0   ,                   27.0   ,              26   ,                   0   ,         11   ,                        222   ,                      115   ,                   6.0   , 0.7875   ,               49.0   ,                  2838   ,
2021-07-04 11:33:14 ,          26.0   ,            190.0   ,          33.0   ,               24.0   ,                          24.0   ,                  29.0   ,                   25.0   ,                   25.0   ,                   27.0   ,              26   ,                   0   ,          9   ,                        222   ,                      115   ,                   6.0   , 0.7500   ,               47.5   ,                  2835   ,
2021-07-04 11:33:15 ,          26.0   ,            187.0   ,          33.0   ,               25.0   ,                          24.0   ,                  29.0   ,                   25.0   ,                   26.0   ,                   27.0   ,              26   ,                   0   ,          3   ,                        222   ,                      115   ,                   6.0   , 0.8000   ,               45.9   ,                  2834   ,
2021-07-04 11:33:16 ,          26.0   ,            186.0   ,          33.0   ,               24.0   ,                          24.0   ,                  29.0   ,                   25.0   ,                   25.0   ,                   27.0   ,              26   ,                   0   ,          4   ,                        222   ,                      115   ,                   6.0   , 0.7500   ,               44.4   ,                  2833   ,
2021-07-04 11:33:17 ,          26.0   ,            196.0   ,          33.0   ,               25.0   ,                          24.0   ,                  28.0   ,                   25.0   ,                   25.0   ,                   27.0   ,              26   ,                   0   ,         10   ,                        222   ,                      115   ,                   6.0   , 0.7500   ,               42.8   ,                  2828   ,
2021-07-04 11:33:18 ,          26.0   ,            189.0   ,          33.0   ,               24.0   ,                          25.0   ,                  29.0   ,                   25.0   ,                   25.0   ,                   27.0   ,              26   ,                   0   ,          1   ,                        222   ,                      115   ,                   6.0   , 0.7500   ,               41.3   ,                  2837   ,
2021-07-04 11:33:19 ,          26.0   ,            189.0   ,          33.0   ,               24.0   ,                          25.0   ,                  29.0   ,                   26.0   ,                   26.0   ,                   27.0   ,              26   ,                   0   ,          3   ,                        222   ,                      115   ,                   7.0   , 0.7500   ,               39.6   ,                  2834   ,
2021-07-04 11:33:20 ,          26.0   ,            189.0   ,          33.0   ,               24.0   ,                          24.0   ,                  29.0   ,                   25.0   ,                   25.0   ,                   27.0   ,              26   ,                   0   ,          4   ,                        222   ,                      115   ,                   6.0   , 0.7500   ,               38.1   ,                  2833   ,
2021-07-04 11:33:21 ,          26.0   ,            189.0   ,          33.0   ,               25.0   ,                          24.0   ,                  29.0   ,                   26.0   ,                   26.0   ,                   27.0   ,              26   ,                   0   ,          4   ,                        222   ,                      115   ,                   7.0   , 0.7500   ,               36.6   ,                  2833   ,
2021-07-04 11:33:22 ,          26.0   ,            192.0   ,          33.0   ,               25.0   ,                          24.0   ,                  29.0   ,                   26.0   ,                   26.0   ,                   27.0   ,              26   ,                   0   ,          5   ,                        222   ,                      115   ,                   6.0   , 0.7500   ,               35.4   ,                  2837   ,
2021-07-04 11:33:23 ,         111.0   ,            187.0   ,          33.0   ,               25.0   ,                          25.0   ,                  29.0   ,                   26.0   ,                   26.0   ,                   27.0   ,              26   ,                   0   ,          9   ,                        222   ,                      115   ,                   6.0   , 0.7500   ,               34.6   ,                  2837   ,
2021-07-04 11:33:24 ,          26.0   ,            185.0   ,          33.0   ,               25.0   ,                          24.0   ,                  29.0   ,                   26.0   ,                   26.0   ,                   27.0   ,              26   ,                   0   ,          3   ,                        222   ,                      115   ,                   6.0   , 0.7500   ,               33.9   ,                  2829   ,
2021-07-04 11:33:25 ,          26.0   ,            188.0   ,          33.0   ,               24.0   ,                          24.0   ,                  29.0   ,                   26.0   ,                   26.0   ,                   27.0   ,              26   ,                   0   ,          3   ,                        222   ,                      115   ,                   7.0   , 0.7500   ,               33.8   ,                  2816   ,
2021-07-04 11:33:26 ,          26.0   ,            169.0   ,          33.0   ,               25.0   ,                          24.0   ,                  29.0   ,                   26.0   ,                   26.0   ,                   27.0   ,              26   ,                   0   ,          0   ,                        222   ,                      115   ,                   7.0   , 0.7500   ,               33.5   ,                  2810   ,
2021-07-04 11:33:27 ,          26.0   ,            173.0   ,          33.0   ,               25.0   ,                          25.0   ,                  29.0   ,                   26.0   ,                   26.0   ,                   27.0   ,              26   ,                   0   ,          1   ,                        222   ,                      115   ,                   6.0   , 0.7500   ,               33.4   ,                  2816   ,
2021-07-04 11:33:28 ,          26.0   ,            174.0   ,          33.0   ,               24.0   ,                          25.0   ,                  29.0   ,                   26.0   ,                   26.0   ,                   27.0   ,              26   ,                   0   ,          0   ,                        222   ,                      115   ,                   6.0   , 0.7500   ,               33.4   ,                  2814   ,
2021-07-04 11:33:29 ,          26.0   ,            172.0   ,          33.0   ,               25.0   ,                          24.0   ,                  29.0   ,                   25.0   ,                   25.0   ,                   27.0   ,              26   ,                   0   ,          0   ,                        222   ,                      115   ,                   6.0   , 0.7500   ,               33.4   ,                  2811   ,
