        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDQ Power Draw [W] , PCIe Slot Power [W] , 6-Pin #1 Power [W] , 8-Pin #1 Power [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-07-01 15:08:34 ,        1045.2   ,           1752.8   ,               39.0   ,              41   ,                1320   ,            155   ,          0   ,                        0   ,                   0   ,                    0   ,               54.5   ,                  15.0   ,               30.5   ,              35.5   ,              5.7   ,              9.3   ,                        23.9   ,              16   , 1.1120   ,               53.5   ,                  2324   ,
2021-07-01 15:08:35 ,        1045.2   ,           1752.8   ,               39.0   ,              41   ,                1320   ,            155   ,          1   ,                        0   ,                   0   ,                    0   ,               54.7   ,                  15.2   ,               30.6   ,              35.6   ,              5.7   ,              9.4   ,                        24.0   ,              16   , 1.1120   ,               52.0   ,                  2323   ,
2021-07-01 15:08:36 ,         810.0   ,           1752.8   ,               39.0   ,              41   ,                1350   ,            155   ,          1   ,                        0   ,                   0   ,                    0   ,               50.3   ,                  10.8   ,               30.5   ,              35.5   ,              4.2   ,              6.6   ,                        22.1   ,              16   , 0.9620   ,               50.4   ,                  2323   ,
2021-07-01 15:08:37 ,         810.0   ,           1752.8   ,               38.0   ,              41   ,                1380   ,            155   ,          1   ,                        0   ,                   0   ,                    0   ,               49.0   ,                   9.5   ,               30.5   ,              35.5   ,              3.7   ,              5.7   ,                        21.5   ,              16   , 0.9620   ,               48.9   ,                  2322   ,
2021-07-01 15:08:38 ,         810.0   ,           1752.8   ,               39.0   ,              41   ,                1350   ,            155   ,          1   ,                        0   ,                   0   ,                    0   ,               49.0   ,                   9.5   ,               30.5   ,              35.5   ,              3.7   ,              5.7   ,                        21.5   ,              16   , 0.9620   ,               47.3   ,                  2322   ,
2021-07-01 15:08:39 ,         810.0   ,            405.0   ,               37.0   ,              41   ,                1380   ,            155   ,          1   ,                        1   ,                   0   ,                    0   ,               27.0   ,                   6.5   ,               11.5   ,              16.5   ,              2.5   ,              4.0   ,                        11.8   ,              16   , 0.9620   ,               45.8   ,                  2322   ,
2021-07-01 15:08:40 ,         810.0   ,            405.0   ,               37.0   ,              41   ,                1350   ,            155   ,          1   ,                        1   ,                   0   ,                    0   ,               26.9   ,                   6.5   ,               11.4   ,              16.4   ,              2.5   ,              4.0   ,                        11.8   ,              16   , 0.9620   ,               44.1   ,                  2322   ,
2021-07-01 15:08:41 ,         810.0   ,            405.0   ,               37.0   ,              41   ,                1350   ,            155   ,          1   ,                        1   ,                   0   ,                    0   ,               26.8   ,                   6.5   ,               11.3   ,              16.3   ,              2.5   ,              4.0   ,                        11.7   ,              16   , 0.9620   ,               42.6   ,                  2322   ,
2021-07-01 15:08:42 ,         180.0   ,            162.0   ,               36.0   ,              41   ,                1320   ,            155   ,          2   ,                        3   ,                   0   ,                    0   ,               26.8   ,                   6.5   ,               11.3   ,              16.3   ,              2.5   ,              4.0   ,                        11.7   ,              16   , 0.9620   ,               41.0   ,                  2322   ,
2021-07-01 15:08:43 ,         180.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            155   ,          2   ,                        3   ,                   0   ,                    0   ,               13.7   ,                   2.4   ,                2.3   ,               7.3   ,              0.0   ,              2.4   ,                         6.0   ,              16   , 0.9620   ,               39.5   ,                  2316   ,
2021-07-01 15:08:44 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            155   ,          2   ,                        3   ,                   0   ,                    0   ,               13.6   ,                   2.3   ,                2.3   ,               7.3   ,              0.0   ,              2.3   ,                         6.0   ,              16   , 0.9620   ,               38.0   ,                  2316   ,
2021-07-01 15:08:45 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1380   ,            155   ,          3   ,                        4   ,                   0   ,                    0   ,               13.8   ,                   2.4   ,                2.4   ,               7.4   ,              0.0   ,              2.4   ,                         6.1   ,              16   , 0.9620   ,               36.8   ,                  2316   ,
2021-07-01 15:08:46 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1380   ,            155   ,          3   ,                        3   ,                   0   ,                    0   ,               13.7   ,                   2.3   ,                2.4   ,               7.4   ,              0.0   ,              2.3   ,                         6.0   ,              16   , 0.9620   ,               35.6   ,                  2316   ,
2021-07-01 15:08:47 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1320   ,            155   ,          2   ,                        3   ,                   0   ,                    0   ,               13.7   ,                   2.4   ,                2.3   ,               7.3   ,              0.0   ,              2.4   ,                         6.0   ,              16   , 0.9620   ,               35.0   ,                  2316   ,
2021-07-01 15:08:49 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            155   ,          3   ,                        3   ,                   0   ,                    0   ,               13.7   ,                   2.4   ,                2.3   ,               7.3   ,              0.0   ,              2.4   ,                         6.0   ,              16   , 0.9620   ,               34.6   ,                  2316   ,
2021-07-01 15:08:50 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.8   ,                   2.4   ,                2.4   ,               7.4   ,              0.0   ,              2.4   ,                         6.1   ,              16   , 0.9620   ,               34.1   ,                  2316   ,
2021-07-01 15:08:51 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1320   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               34.0   ,                  2315   ,
2021-07-01 15:08:52 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.8   ,                  2315   ,
2021-07-01 15:08:53 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.8   ,                  2315   ,
2021-07-01 15:08:54 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1380   ,            155   ,          0   ,                        3   ,                   0   ,                    0   ,               13.2   ,                   2.3   ,                2.0   ,               7.0   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.6   ,                  2315   ,
2021-07-01 15:08:55 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1380   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.8   ,                  2315   ,
2021-07-01 15:08:56 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1320   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.4   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.9   ,              16   , 0.9620   ,               33.8   ,                  2315   ,
2021-07-01 15:08:57 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.9   ,                  2315   ,
2021-07-01 15:08:58 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.4   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.9   ,              16   , 0.9620   ,               33.8   ,                  2314   ,
2021-07-01 15:08:59 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1320   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.5   ,                   2.3   ,                2.2   ,               7.2   ,              0.0   ,              2.3   ,                         5.9   ,              16   , 0.9620   ,               33.8   ,                  2314   ,
2021-07-01 15:09:00 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            155   ,          0   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.8   ,                  2314   ,
2021-07-01 15:09:01 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1380   ,            155   ,          0   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.9   ,                  2314   ,
2021-07-01 15:09:02 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.5   ,                   2.3   ,                2.2   ,               7.2   ,              0.0   ,              2.3   ,                         5.9   ,              16   , 0.9620   ,               33.9   ,                  2314   ,
2021-07-01 15:09:03 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.4   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.9   ,              16   , 0.9620   ,               33.8   ,                  2314   ,
2021-07-01 15:09:04 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.4   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.9   ,              16   , 0.9620   ,               33.8   ,                  2314   ,
2021-07-01 15:09:05 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1320   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.8   ,                  2314   ,
2021-07-01 15:09:06 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            155   ,          0   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.8   ,                  2314   ,
2021-07-01 15:09:07 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1380   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.8   ,                  2314   ,
2021-07-01 15:09:08 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.8   ,                  2314   ,
2021-07-01 15:09:09 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.4   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.9   ,              16   , 0.9620   ,               33.8   ,                  2314   ,
2021-07-01 15:09:10 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.8   ,                  2314   ,
2021-07-01 15:09:11 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1320   ,            155   ,          0   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.8   ,                  2314   ,
2021-07-01 15:09:12 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.8   ,                  2314   ,
2021-07-01 15:09:13 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1380   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.4   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.9   ,              16   , 0.9620   ,               34.1   ,                  2286   ,
2021-07-01 15:09:14 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               34.0   ,                  2291   ,
2021-07-01 15:09:15 ,         135.0   ,            162.0   ,               36.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               43.1   ,                  2290   ,
2021-07-01 15:09:16 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1320   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               41.6   ,                  2290   ,
2021-07-01 15:09:17 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.2   ,                   2.3   ,                2.0   ,               7.0   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               40.0   ,                  2290   ,
2021-07-01 15:09:18 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1380   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.5   ,                   2.3   ,                2.2   ,               7.2   ,              0.0   ,              2.3   ,                         5.9   ,              16   , 0.9620   ,               38.5   ,                  2290   ,
2021-07-01 15:09:19 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            155   ,          0   ,                        3   ,                   0   ,                    0   ,               13.5   ,                   2.3   ,                2.2   ,               7.2   ,              0.0   ,              2.3   ,                         5.9   ,              16   , 0.9620   ,               37.0   ,                  2290   ,
2021-07-01 15:09:20 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            155   ,          0   ,                        3   ,                   0   ,                    0   ,               13.4   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.9   ,              16   , 0.9620   ,               35.5   ,                  2290   ,
2021-07-01 15:09:21 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               34.3   ,                  2290   ,
2021-07-01 15:09:22 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1320   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.3   ,                   2.3   ,                2.1   ,               7.1   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.8   ,                  2290   ,
2021-07-01 15:09:23 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1350   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.2   ,                   2.3   ,                2.0   ,               7.0   ,              0.0   ,              2.3   ,                         5.8   ,              16   , 0.9620   ,               33.6   ,                  2290   ,
2021-07-01 15:09:24 ,         135.0   ,            162.0   ,               35.0   ,              41   ,                1380   ,            155   ,          1   ,                        3   ,                   0   ,                    0   ,               13.5   ,                   2.3   ,                2.2   ,               7.2   ,              0.0   ,              2.3   ,                         5.9   ,              16   , 0.9620   ,               33.5   ,                  2290   ,
