        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-15 14:34:54 ,        1607.0   ,           1251.5   ,               35.0   ,              27   ,                1090   ,            191   ,          0   ,                        0   ,                   0   ,                    0   ,                    40.3   ,                        22.4   ,              16   , 0.8500   ,               47.9   ,                  2525   ,
2021-03-15 14:34:55 ,        1607.0   ,           1251.5   ,               36.0   ,              27   ,                1090   ,            191   ,          0   ,                        0   ,                   0   ,                    0   ,                    40.4   ,                        22.5   ,              16   , 0.8500   ,               46.4   ,                  2527   ,
2021-03-15 14:34:56 ,        1189.5   ,           1251.5   ,               36.0   ,              27   ,                1091   ,            191   ,          0   ,                        0   ,                   0   ,                    0   ,                    34.9   ,                        19.4   ,              16   , 0.6810   ,               44.8   ,                  2526   ,
2021-03-15 14:34:57 ,        1189.5   ,           1251.5   ,               36.0   ,              27   ,                1092   ,            191   ,          0   ,                        0   ,                   0   ,                    0   ,                    34.9   ,                        19.4   ,              16   , 0.6810   ,               43.3   ,                  2526   ,
2021-03-15 14:34:58 ,        1189.5   ,           1251.5   ,               36.0   ,              27   ,                1094   ,            191   ,          0   ,                        0   ,                   0   ,                    0   ,                    34.7   ,                        19.3   ,              16   , 0.6810   ,               41.6   ,                  2526   ,
2021-03-15 14:34:59 ,        1189.5   ,           1128.4   ,               36.0   ,              27   ,                1095   ,            191   ,          0   ,                        0   ,                   0   ,                    0   ,                    32.8   ,                        18.2   ,              16   , 0.6810   ,               40.1   ,                  2519   ,
2021-03-15 14:35:00 ,        1189.5   ,           1128.4   ,               36.0   ,              27   ,                1098   ,            191   ,          0   ,                        0   ,                   0   ,                    0   ,                    32.9   ,                        18.3   ,              16   , 0.6810   ,               38.6   ,                  2519   ,
2021-03-15 14:35:01 ,         746.5   ,            202.5   ,               36.0   ,              27   ,                1101   ,            191   ,          1   ,                        1   ,                   0   ,                    0   ,                    11.3   ,                         6.3   ,              16   , 0.6250   ,               37.1   ,                  2519   ,
2021-03-15 14:35:02 ,         746.5   ,            202.5   ,               36.0   ,              27   ,                1107   ,            191   ,          1   ,                        1   ,                   0   ,                    0   ,                    11.0   ,                         6.1   ,              16   , 0.6250   ,               35.8   ,                  2519   ,
2021-03-15 14:35:03 ,         746.5   ,            202.5   ,               36.0   ,              27   ,                1108   ,            191   ,          1   ,                        1   ,                   0   ,                    0   ,                    11.0   ,                         6.1   ,              16   , 0.6250   ,               34.4   ,                  2519   ,
2021-03-15 14:35:04 ,         164.5   ,            101.3   ,               35.0   ,              27   ,                1108   ,            191   ,          1   ,                        3   ,                   0   ,                    0   ,                     9.4   ,                         5.2   ,              16   , 0.6250   ,               33.4   ,                  2519   ,
2021-03-15 14:35:05 ,         164.5   ,            101.3   ,               35.0   ,              27   ,                1104   ,            191   ,          1   ,                        3   ,                   0   ,                    0   ,                     9.0   ,                         5.0   ,              16   , 0.6250   ,               33.0   ,                  2519   ,
2021-03-15 14:35:06 ,         164.5   ,            101.3   ,               35.0   ,              27   ,                1105   ,            191   ,          1   ,                        3   ,                   0   ,                    0   ,                     9.4   ,                         5.2   ,              16   , 0.6250   ,               33.0   ,                  2519   ,
2021-03-15 14:35:07 ,         139.0   ,            101.3   ,               35.0   ,              27   ,                1105   ,            191   ,          1   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         5.4   ,              16   , 0.6250   ,               32.6   ,                  2519   ,
