        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-07-02 14:48:31 ,        1607.0   ,           1251.5   ,               38.1   ,        49.1   ,              27   ,                1088   ,            233   ,          0   ,                        0   ,                   0   ,                    0   ,               40.6   ,                  13.4   ,              23.9   ,                12.0   ,             16.0   ,               12.1   ,                        22.6   ,              16   ,        0.8500   ,               49.4   ,                  2350   ,
2021-07-02 14:48:32 ,        1607.0   ,           1251.5   ,               38.2   ,        49.2   ,              27   ,                1090   ,            233   ,          0   ,                        0   ,                   0   ,                    0   ,               40.5   ,                  13.4   ,              23.8   ,                12.0   ,             16.0   ,               12.1   ,                        22.5   ,              16   ,        0.8500   ,               47.8   ,                  2350   ,
2021-07-02 14:48:33 ,        1164.0   ,           1251.5   ,               38.3   ,        49.3   ,              27   ,                1092   ,            233   ,          1   ,                        0   ,                   0   ,                    0   ,               34.8   ,                   7.6   ,              23.9   ,                12.0   ,             10.2   ,               12.1   ,                        19.3   ,              16   ,        0.6750   ,               46.3   ,                  2342   ,
2021-07-02 14:48:34 ,        1164.0   ,           1251.5   ,               38.2   ,        49.2   ,              27   ,                1094   ,            233   ,          0   ,                        0   ,                   0   ,                    0   ,               34.5   ,                   7.3   ,              23.9   ,                12.0   ,             10.0   ,               12.1   ,                        19.2   ,              16   ,        0.6750   ,               44.6   ,                  2342   ,
2021-07-02 14:48:35 ,        1164.0   ,           1251.5   ,               38.3   ,        49.3   ,              27   ,                1095   ,            233   ,          0   ,                        0   ,                   0   ,                    0   ,               34.8   ,                   7.6   ,              23.9   ,                12.0   ,             10.2   ,               12.1   ,                        19.3   ,              16   ,        0.6750   ,               43.1   ,                  2342   ,
2021-07-02 14:48:36 ,        1164.0   ,           1128.4   ,               38.4   ,        49.4   ,              27   ,                1097   ,            233   ,          0   ,                        0   ,                   0   ,                    0   ,               32.9   ,                   7.2   ,              22.4   ,                12.0   ,              9.7   ,               12.1   ,                        18.2   ,              16   ,        0.6750   ,               41.5   ,                  2342   ,
2021-07-02 14:48:37 ,        1164.0   ,           1128.4   ,               38.4   ,        49.4   ,              27   ,                1099   ,            233   ,          1   ,                        0   ,                   0   ,                    0   ,               32.8   ,                   7.2   ,              22.4   ,                12.0   ,              9.7   ,               12.1   ,                        18.2   ,              16   ,        0.6750   ,               40.0   ,                  2342   ,
2021-07-02 14:48:38 ,        1164.0   ,           1128.4   ,               38.7   ,        49.7   ,              27   ,                1099   ,            233   ,          1   ,                        0   ,                   0   ,                    0   ,               32.8   ,                   7.2   ,              22.4   ,                12.0   ,              9.7   ,               12.1   ,                        18.2   ,              16   ,        0.6750   ,               38.5   ,                  2339   ,
2021-07-02 14:48:39 ,         759.0   ,            202.5   ,               38.2   ,        49.2   ,              27   ,                1107   ,            233   ,          1   ,                        1   ,                   0   ,                    0   ,               11.5   ,                   4.0   ,               5.2   ,                12.1   ,              5.6   ,               12.1   ,                         6.4   ,              16   ,        0.6250   ,               37.0   ,                  2339   ,
2021-07-02 14:48:40 ,         759.0   ,            202.5   ,               38.1   ,        49.1   ,              27   ,                1109   ,            233   ,          1   ,                        1   ,                   0   ,                    0   ,               11.6   ,                   4.0   ,               5.3   ,                12.1   ,              5.6   ,               12.1   ,                         6.4   ,              16   ,        0.6250   ,               35.8   ,                  2339   ,
