        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCE Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , SOC VRM Temperature [°C] , Mem VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-07-03 14:40:06 ,          26.0   ,            178.0   ,          33.0   ,               40.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              24   ,                   0   ,          3   ,                       3346   ,                      151   ,                   8.0   , 0.7813   ,               55.8   ,                  4167   ,
2021-07-03 14:40:07 ,          26.0   ,            193.0   ,          33.0   ,               40.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              24   ,                   0   ,          4   ,                       3346   ,                      151   ,                   8.0   , 0.7813   ,               54.1   ,                  4167   ,
2021-07-03 14:40:08 ,          26.0   ,            195.0   ,          33.0   ,               40.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              24   ,                   0   ,          3   ,                       3346   ,                      151   ,                   8.0   , 0.7813   ,               52.6   ,                  4167   ,
2021-07-03 14:40:09 ,          26.0   ,            188.0   ,          33.0   ,               40.0   ,                          40.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              24   ,                   0   ,          3   ,                       3346   ,                      151   ,                   8.0   , 0.7813   ,               51.0   ,                  4167   ,
2021-07-03 14:40:10 ,          26.0   ,            188.0   ,          33.0   ,               40.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              24   ,                   0   ,          3   ,                       3346   ,                      151   ,                   8.0   , 0.7813   ,               49.5   ,                  4166   ,
2021-07-03 14:40:11 ,          26.0   ,            188.0   ,          33.0   ,               40.0   ,                          40.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              24   ,                   0   ,          4   ,                       3346   ,                      151   ,                   7.0   , 0.7813   ,               47.9   ,                  4166   ,
2021-07-03 14:40:12 ,          26.0   ,            190.0   ,          33.0   ,               39.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              24   ,                   0   ,          4   ,                       3346   ,                      151   ,                   7.0   , 0.7813   ,               46.4   ,                  4166   ,
2021-07-03 14:40:13 ,          26.0   ,            189.0   ,          33.0   ,               40.0   ,                          40.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              24   ,                   0   ,          4   ,                       3346   ,                      151   ,                   7.0   , 0.7813   ,               44.8   ,                  4166   ,
2021-07-03 14:40:14 ,          26.0   ,            195.0   ,          33.0   ,               40.0   ,                          40.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              24   ,                   0   ,          4   ,                       3346   ,                      151   ,                   6.0   , 0.7813   ,               43.3   ,                  4166   ,
2021-07-03 14:40:15 ,          26.0   ,            195.0   ,          33.0   ,               40.0   ,                          39.0   ,                  43.0   ,                   40.0   ,                   40.0   ,                   42.0   ,              24   ,                   0   ,          3   ,                       3346   ,                      151   ,                   7.0   , 0.7813   ,               41.8   ,                  4165   ,
