        Date        , GPU Clock [MHz] , Memory Clock [MHz] , VCE Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , SOC VRM Temperature [°C] , Mem VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU only Power Draw [W] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-07 15:39:57 ,          26.0   ,            171.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   6.0   , 0.7813   ,               52.8   ,                  3676   ,
2021-03-07 15:39:58 ,          26.0   ,            189.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                        272   ,                       70   ,                   6.0   , 0.7813   ,               51.3   ,                  3676   ,
2021-03-07 15:39:59 ,          26.0   ,            189.0   ,          33.0   ,               35.0   ,                          38.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               49.8   ,                  3676   ,
2021-03-07 15:40:00 ,          26.0   ,            192.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               48.1   ,                  3676   ,
2021-03-07 15:40:01 ,          26.0   ,            187.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          9   ,                        272   ,                       70   ,                   5.0   , 0.8313   ,               46.6   ,                  3676   ,
2021-03-07 15:40:02 ,          26.0   ,            184.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               45.0   ,                  3676   ,
2021-03-07 15:40:03 ,          26.0   ,            188.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          5   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               43.5   ,                  3676   ,
2021-03-07 15:40:04 ,          26.0   ,            188.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          4   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               41.9   ,                  3676   ,
2021-03-07 15:40:05 ,          26.0   ,            191.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               40.5   ,                  3674   ,
2021-03-07 15:40:06 ,          26.0   ,            189.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          5   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               39.0   ,                  3676   ,
2021-03-07 15:40:07 ,          26.0   ,            197.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          4   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               37.6   ,                  3676   ,
2021-03-07 15:40:08 ,          26.0   ,            197.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          3   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               36.4   ,                  3676   ,
2021-03-07 15:40:09 ,          26.0   ,            198.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          3   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               35.6   ,                  3677   ,
2021-03-07 15:40:10 ,          26.0   ,            190.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          3   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               35.5   ,                  3674   ,
2021-03-07 15:40:11 ,          26.0   ,            189.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                        272   ,                       70   ,                   6.0   , 0.7813   ,               35.5   ,                  3676   ,
2021-03-07 15:40:12 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               35.3   ,                  3675   ,
2021-03-07 15:40:13 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               35.0   ,                  3675   ,
2021-03-07 15:40:14 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.9   ,                  3675   ,
2021-03-07 15:40:15 ,          26.0   ,            168.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.8   ,                  3674   ,
2021-03-07 15:40:16 ,          26.0   ,            171.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.8   ,                  3675   ,
2021-03-07 15:40:17 ,          26.0   ,            179.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          6   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.8   ,                  3675   ,
2021-03-07 15:40:18 ,          26.0   ,            167.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.8   ,                  3674   ,
2021-03-07 15:40:19 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.8   ,                  3675   ,
2021-03-07 15:40:20 ,          26.0   ,            167.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.8   ,                  3671   ,
2021-03-07 15:40:21 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.8   ,                  3674   ,
2021-03-07 15:40:22 ,          26.0   ,            167.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.8   ,                  3674   ,
2021-03-07 15:40:23 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.8   ,                  3674   ,
2021-03-07 15:40:24 ,          26.0   ,            167.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.5   ,                  3673   ,
2021-03-07 15:40:25 ,          26.0   ,            170.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.5   ,                  3672   ,
2021-03-07 15:40:26 ,          26.0   ,            172.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.5   ,                  3673   ,
2021-03-07 15:40:27 ,          26.0   ,            167.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.5   ,                  3673   ,
2021-03-07 15:40:28 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   6.0   , 0.7813   ,               34.5   ,                  3673   ,
2021-03-07 15:40:29 ,          26.0   ,            167.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   6.0   , 0.7813   ,               34.5   ,                  3673   ,
2021-03-07 15:40:30 ,          26.0   ,            167.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   6.0   , 0.7813   ,               34.5   ,                  3673   ,
2021-03-07 15:40:31 ,          26.0   ,            167.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.5   ,                  3673   ,
2021-03-07 15:40:32 ,          26.0   ,            167.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.5   ,                  3673   ,
2021-03-07 15:40:33 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.4   ,                  3674   ,
2021-03-07 15:40:34 ,          26.0   ,            167.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.4   ,                  3673   ,
2021-03-07 15:40:35 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.4   ,                  3671   ,
2021-03-07 15:40:36 ,          26.0   ,            172.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.4   ,                  3673   ,
2021-03-07 15:40:37 ,          26.0   ,            182.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   37.0   ,                   39.0   ,              23   ,                   0   ,          2   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.4   ,                  3673   ,
2021-03-07 15:40:38 ,          26.0   ,            167.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.4   ,                  3673   ,
2021-03-07 15:40:39 ,          26.0   ,            167.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   6.0   , 0.7813   ,               34.4   ,                  3673   ,
2021-03-07 15:40:40 ,          26.0   ,            167.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3672   ,
2021-03-07 15:40:41 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:40:42 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   38.0   ,                   39.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:40:43 ,          26.0   ,            167.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   39.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:40:44 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   38.0   ,                   38.0   ,                   39.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:40:45 ,          26.0   ,            168.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:40:46 ,          26.0   ,            170.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:40:47 ,          26.0   ,            176.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          2   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:40:48 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:40:49 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:40:50 ,          26.0   ,            167.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3671   ,
2021-03-07 15:40:51 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.3   ,                  3672   ,
2021-03-07 15:40:52 ,          26.0   ,            167.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.3   ,                  3672   ,
2021-03-07 15:40:53 ,          26.0   ,            167.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.3   ,                  3672   ,
2021-03-07 15:40:54 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.3   ,                  3672   ,
2021-03-07 15:40:55 ,          26.0   ,            168.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.3   ,                  3672   ,
2021-03-07 15:40:56 ,          26.0   ,            171.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3672   ,
2021-03-07 15:40:57 ,          26.0   ,            173.0   ,          33.0   ,               36.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              23   ,                   0   ,          4   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3672   ,
2021-03-07 15:40:58 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   39.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3672   ,
2021-03-07 15:40:59 ,          26.0   ,            167.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3672   ,
2021-03-07 15:41:00 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3670   ,
2021-03-07 15:41:01 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:41:02 ,          26.0   ,            167.0   ,          33.0   ,               35.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:41:03 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   37.0   ,                   37.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:41:04 ,          26.0   ,            168.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   37.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:41:05 ,          26.0   ,            171.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3671   ,
2021-03-07 15:41:06 ,          26.0   ,            175.0   ,          33.0   ,               35.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          1   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:41:07 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3672   ,
2021-03-07 15:41:08 ,          26.0   ,            167.0   ,          33.0   ,               35.0   ,                          37.0   ,                  40.0   ,                   38.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:41:09 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  40.0   ,                   39.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   5.0   , 0.7813   ,               34.3   ,                  3673   ,
2021-03-07 15:41:10 ,          26.0   ,            167.0   ,          33.0   ,               38.0   ,                          37.0   ,                  40.0   ,                   38.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.1   ,                  3672   ,
2021-03-07 15:41:11 ,          26.0   ,            167.0   ,          33.0   ,               37.0   ,                          37.0   ,                  41.0   ,                   38.0   ,                   39.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   4.0   , 0.7813   ,               34.1   ,                  3673   ,
2021-03-07 15:41:12 ,          26.0   ,            167.0   ,          33.0   ,               38.0   ,                          37.0   ,                  41.0   ,                   39.0   ,                   38.0   ,                   40.0   ,              23   ,                   0   ,          0   ,                        272   ,                       70   ,                   6.0   , 0.7813   ,               34.1   ,                  3673   ,
