        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption (W) [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-03-15 12:27:50 ,        1607.0   ,           1251.5   ,               39.0   ,              30   ,                1192   ,            191   ,          0   ,                        0   ,                   0   ,                    0   ,                    40.6   ,                        22.5   ,              16   , 0.8500   ,               47.6   ,                  3156   ,
2021-03-15 12:27:51 ,        1607.0   ,           1251.5   ,               40.0   ,              30   ,                1191   ,            191   ,          0   ,                        0   ,                   0   ,                    0   ,                    40.6   ,                        22.5   ,              16   , 0.8500   ,               46.1   ,                  3158   ,
2021-03-15 12:27:52 ,        1164.0   ,           1251.5   ,               40.0   ,              30   ,                1190   ,            191   ,          1   ,                        0   ,                   0   ,                    0   ,                    34.8   ,                        19.4   ,              16   , 0.6750   ,               44.5   ,                  3153   ,
2021-03-15 12:27:53 ,        1164.0   ,           1251.5   ,               40.0   ,              30   ,                1190   ,            191   ,          0   ,                        0   ,                   0   ,                    0   ,                    35.0   ,                        19.3   ,              16   , 0.6750   ,               43.0   ,                  3153   ,
2021-03-15 12:27:54 ,        1164.0   ,           1251.5   ,               40.0   ,              30   ,                1190   ,            191   ,          0   ,                        0   ,                   0   ,                    0   ,                    34.8   ,                        19.3   ,              16   , 0.6750   ,               41.4   ,                  3142   ,
2021-03-15 12:27:55 ,        1164.0   ,           1128.4   ,               40.0   ,              30   ,                1192   ,            191   ,          0   ,                        0   ,                   0   ,                    0   ,                    32.9   ,                        18.3   ,              16   , 0.6750   ,               39.9   ,                  3142   ,
2021-03-15 12:27:56 ,        1164.0   ,           1128.4   ,               40.0   ,              30   ,                1191   ,            191   ,          0   ,                        0   ,                   0   ,                    0   ,                    33.1   ,                        18.4   ,              16   , 0.6750   ,               38.3   ,                  3142   ,
2021-03-15 12:27:57 ,         759.0   ,            202.5   ,               40.0   ,              30   ,                1195   ,            191   ,          1   ,                        1   ,                   0   ,                    0   ,                    11.6   ,                         6.4   ,              16   , 0.6250   ,               36.9   ,                  3142   ,
2021-03-15 12:27:58 ,         759.0   ,            202.5   ,               39.0   ,              30   ,                1203   ,            191   ,          1   ,                        1   ,                   0   ,                    0   ,                    11.7   ,                         6.5   ,              16   , 0.6250   ,               35.4   ,                  3142   ,
2021-03-15 12:27:59 ,         759.0   ,            202.5   ,               39.0   ,              30   ,                1201   ,            191   ,          1   ,                        1   ,                   0   ,                    0   ,                    11.3   ,                         6.3   ,              16   , 0.6250   ,               33.9   ,                  3142   ,
2021-03-15 12:28:00 ,         177.0   ,            101.3   ,               39.0   ,              30   ,                1200   ,            191   ,          1   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         5.4   ,              16   , 0.6250   ,               32.6   ,                  3141   ,
2021-03-15 12:28:01 ,         177.0   ,            101.3   ,               39.0   ,              30   ,                1197   ,            191   ,          1   ,                        3   ,                   0   ,                    0   ,                     9.8   ,                         5.5   ,              16   , 0.6250   ,               32.6   ,                  3142   ,
2021-03-15 12:28:02 ,         177.0   ,            101.3   ,               39.0   ,              30   ,                1194   ,            191   ,          1   ,                        3   ,                   0   ,                    0   ,                     9.8   ,                         5.4   ,              16   , 0.6250   ,               32.5   ,                  3142   ,
2021-03-15 12:28:03 ,         139.0   ,            101.3   ,               39.0   ,              30   ,                1194   ,            191   ,          2   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         5.4   ,              16   , 0.6250   ,               32.4   ,                  3142   ,
2021-03-15 12:28:04 ,         139.0   ,            101.3   ,               39.0   ,              30   ,                1191   ,            191   ,          1   ,                        3   ,                   0   ,                    0   ,                     9.7   ,                         5.4   ,              16   , 0.6250   ,               32.4   ,                  3141   ,
2021-03-15 12:28:05 ,         139.0   ,            101.3   ,               39.0   ,              30   ,                1191   ,            191   ,          0   ,                        3   ,                   0   ,                    0   ,                     9.4   ,                         5.2   ,              16   , 0.6250   ,               31.8   ,                  3141   ,
2021-03-15 12:28:06 ,         139.0   ,            101.3   ,               39.0   ,              30   ,                1190   ,            191   ,          0   ,                        2   ,                   0   ,                    0   ,                     8.8   ,                         4.9   ,              16   , 0.6250   ,               31.0   ,                  3141   ,
2021-03-15 12:28:07 ,         139.0   ,            101.3   ,               39.0   ,              30   ,                1188   ,            191   ,          0   ,                        2   ,                   0   ,                    0   ,                     8.6   ,                         5.5   ,              16   , 0.6250   ,               30.5   ,                  3141   ,
