        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2021-07-02 12:42:46 ,        1607.0   ,           1251.5   ,               43.0   ,        54.0   ,              27   ,                1094   ,            233   ,          0   ,                        0   ,                   0   ,                    0   ,               40.9   ,                  13.6   ,              23.9   ,                12.0   ,             16.3   ,               12.1   ,                        22.7   ,              16   ,        0.8500   ,               51.5   ,                  2540   ,
2021-07-02 12:42:47 ,        1607.0   ,           1251.5   ,               43.2   ,        54.2   ,              27   ,                1096   ,            233   ,          0   ,                        0   ,                   0   ,                    0   ,               41.1   ,                  13.9   ,              23.9   ,                12.0   ,             16.5   ,               12.1   ,                        22.8   ,              16   ,        0.8500   ,               50.9   ,                  2538   ,
2021-07-02 12:42:48 ,        1164.0   ,           1251.5   ,               42.8   ,        53.8   ,              27   ,                1097   ,            233   ,          1   ,                        0   ,                   0   ,                    0   ,               35.0   ,                   7.8   ,              24.0   ,                12.0   ,             10.4   ,               12.1   ,                        19.5   ,              16   ,        0.6750   ,               50.4   ,                  2539   ,
2021-07-02 12:42:49 ,        1164.0   ,           1251.5   ,               42.9   ,        53.9   ,              27   ,                1097   ,            233   ,          1   ,                        0   ,                   0   ,                    0   ,               35.1   ,                   7.8   ,              23.9   ,                12.0   ,             10.4   ,               12.1   ,                        19.5   ,              16   ,        0.6750   ,               50.0   ,                  2537   ,
2021-07-02 12:42:50 ,        1164.0   ,           1128.4   ,               42.8   ,        53.8   ,              27   ,                1098   ,            233   ,          0   ,                        0   ,                   0   ,                    0   ,               33.0   ,                   7.4   ,              22.4   ,                12.0   ,             10.0   ,               12.1   ,                        18.3   ,              16   ,        0.6750   ,               50.6   ,                  2583   ,
2021-07-02 12:42:51 ,        1164.0   ,           1128.4   ,               42.9   ,        53.9   ,              27   ,                1100   ,            233   ,          1   ,                        0   ,                   0   ,                    0   ,               33.1   ,                   7.4   ,              22.4   ,                12.0   ,             10.0   ,               12.1   ,                        18.4   ,              16   ,        0.6750   ,               50.3   ,                  2538   ,
2021-07-02 12:42:52 ,        1164.0   ,           1128.4   ,               42.9   ,        53.9   ,              27   ,                1100   ,            233   ,          1   ,                        0   ,                   0   ,                    0   ,               33.1   ,                   7.4   ,              22.5   ,                12.0   ,             10.0   ,               12.1   ,                        18.4   ,              16   ,        0.6750   ,               50.0   ,                  2549   ,
2021-07-02 12:42:53 ,         759.0   ,            202.5   ,               42.8   ,        53.8   ,              27   ,                1104   ,            233   ,          1   ,                        1   ,                   0   ,                    0   ,               10.8   ,                   4.0   ,               4.5   ,                12.1   ,              5.6   ,               12.1   ,                         6.0   ,              16   ,        0.6250   ,               50.0   ,                  2548   ,
2021-07-02 12:42:54 ,         759.0   ,            202.5   ,               42.4   ,        53.4   ,              27   ,                1108   ,            233   ,          1   ,                        1   ,                   0   ,                    0   ,               11.2   ,                   4.0   ,               4.9   ,                12.1   ,              5.8   ,               12.1   ,                         6.8   ,              16   ,        0.6250   ,               49.9   ,                  2544   ,
2021-07-02 12:42:55 ,         759.0   ,            202.5   ,               42.3   ,        53.3   ,              27   ,                1107   ,            233   ,          1   ,                        1   ,                   0   ,                    0   ,               11.0   ,                   4.0   ,               4.7   ,                12.1   ,              5.6   ,               12.1   ,                         6.1   ,              16   ,        0.6250   ,               49.5   ,                  2547   ,
2021-07-02 12:42:56 ,         189.5   ,            101.3   ,               42.0   ,        53.0   ,              27   ,                1107   ,            233   ,          2   ,                        3   ,                   0   ,                    0   ,                9.5   ,                   3.4   ,               4.5   ,                12.1   ,              4.8   ,               12.1   ,                         5.6   ,              16   ,        0.6250   ,               49.6   ,                  2553   ,
2021-07-02 12:42:57 ,         189.5   ,            101.3   ,               41.8   ,        52.8   ,              27   ,                1106   ,            233   ,          1   ,                        3   ,                   0   ,                    0   ,                9.4   ,                   3.2   ,               4.1   ,                12.1   ,              4.6   ,               12.1   ,                         5.2   ,              16   ,        0.6250   ,               49.5   ,                  2539   ,
2021-07-02 12:42:58 ,         139.0   ,            101.3   ,               41.8   ,        52.8   ,              27   ,                1106   ,            233   ,          2   ,                        3   ,                   0   ,                    0   ,                9.3   ,                   3.2   ,               4.0   ,                12.1   ,              4.6   ,               12.1   ,                         5.2   ,              16   ,        0.6250   ,               49.8   ,                  2537   ,
2021-07-02 12:42:59 ,         139.0   ,            101.3   ,               41.6   ,        52.6   ,              27   ,                1104   ,            233   ,          2   ,                        3   ,                   0   ,                    0   ,                9.3   ,                   3.4   ,               4.5   ,                12.1   ,              4.9   ,               12.1   ,                         5.6   ,              16   ,        0.6250   ,               50.0   ,                  2538   ,
2021-07-02 12:43:00 ,         139.0   ,            101.3   ,               41.6   ,        52.6   ,              27   ,                1103   ,            233   ,          2   ,                        3   ,                   0   ,                    0   ,                9.4   ,                   3.2   ,               4.1   ,                12.1   ,              4.6   ,               12.1   ,                         5.2   ,              16   ,        0.6250   ,               49.6   ,                  2546   ,
2021-07-02 12:43:01 ,         139.0   ,            101.3   ,               41.3   ,        52.3   ,              27   ,                1102   ,            233   ,          0   ,                        3   ,                   0   ,                    0   ,                9.2   ,                   3.4   ,               4.5   ,                12.1   ,              4.9   ,               12.1   ,                         5.6   ,              16   ,        0.6250   ,               49.5   ,                  2386   ,
2021-07-02 12:43:02 ,         139.0   ,            101.3   ,               41.3   ,        52.3   ,              27   ,                1103   ,            233   ,          0   ,                        3   ,                   0   ,                    0   ,                9.2   ,                   3.2   ,               3.9   ,                12.1   ,              4.6   ,               12.1   ,                         5.1   ,              16   ,        0.6250   ,               49.6   ,                  2387   ,
2021-07-02 12:43:03 ,         139.0   ,            101.3   ,               41.3   ,        52.3   ,              27   ,                1102   ,            233   ,          0   ,                        3   ,                   0   ,                    0   ,                9.5   ,                   3.2   ,               4.2   ,                12.1   ,              4.6   ,               12.1   ,                         5.3   ,              16   ,        0.6250   ,               49.5   ,                  2386   ,
2021-07-02 12:43:04 ,         139.0   ,            101.3   ,               41.3   ,        52.3   ,              27   ,                1102   ,            233   ,          0   ,                        3   ,                   0   ,                    0   ,                9.6   ,                   3.2   ,               4.3   ,                12.1   ,              4.6   ,               12.1   ,                         5.3   ,              16   ,        0.6250   ,               49.5   ,                  2386   ,
2021-07-02 12:43:05 ,         139.0   ,            101.3   ,               41.3   ,        52.3   ,              27   ,                1100   ,            233   ,          0   ,                        3   ,                   0   ,                    0   ,                8.8   ,                   3.0   ,               3.8   ,                12.1   ,              4.4   ,               12.1   ,                         4.9   ,              16   ,        0.6250   ,               49.6   ,                  2388   ,
2021-07-02 12:43:06 ,         139.0   ,            101.3   ,               41.0   ,        52.0   ,              27   ,                1100   ,            233   ,          0   ,                        3   ,                   0   ,                    0   ,                8.6   ,                   3.0   ,               3.6   ,                12.1   ,              4.4   ,               12.1   ,                         4.8   ,              16   ,        0.6250   ,               49.6   ,                  2390   ,
2021-07-02 12:43:07 ,         139.0   ,            101.3   ,               41.0   ,        52.0   ,              27   ,                1099   ,            233   ,          0   ,                        3   ,                   0   ,                    0   ,                8.5   ,                   2.7   ,               3.7   ,                12.1   ,              4.1   ,               12.1   ,                         4.7   ,              16   ,        0.6250   ,               49.8   ,                  2392   ,
2021-07-02 12:43:08 ,         139.0   ,            101.3   ,               40.9   ,        51.9   ,              27   ,                1100   ,            233   ,          0   ,                        3   ,                   0   ,                    0   ,                8.6   ,                   2.9   ,               3.6   ,                12.1   ,              4.4   ,               12.1   ,                         4.8   ,              16   ,        0.6250   ,               49.5   ,                  2394   ,
